youtube_id,top_rank,n_hits,title,duration,deviation,salami_coverage,decision,in_top_5,in_top_10,same_plus_5,same_less_5,overall_score,matching_length,onset_in_youtube,onset_in_salami,hashes,total_hashes
7RJOiUfIA6Y,0,5,"Baby, You're Right",255,-0.1600,0,match,True,True,True,False,9,245.6,0.5,0.6,3412.0,4106.0
CuL7wR-M4kM,1,5,"Baby, You're Right",255,-0.1600,0,,True,True,True,False,4,,,,,
UDaJmFMgCF8,2,4,Joyful Noise,346,-91.1600,0,,True,True,False,False,2,,,,,
NwgEELSShrU,4,3,"Tedeschi Trucks Band - ""Anyhow"" (Live in Studio)",396,-141.1600,0,,True,True,False,False,2,,,,,
zV78ASKvpbc,3,2,Maki Madni,491,-236.1600,0,,True,True,False,False,2,,,,,
gx4Vpd-ARqM,4,2,the Derek Trucks band like anyone else feat Solomon Burke,375,-120.1600,0,,True,True,False,False,2,,,,,
MtG5bT13m8U,5,3,Tedeschi Trucks Band - Darling Be Home Soon (Live),588,-333.1600,0,,False,True,False,False,1,,,,,
TFrFHKgWacA,6,3,"Susan Tedeschi ""Don't think Twice""",421,-166.1600,0,,False,True,False,False,1,,,,,
NLq8I9FHHcs,7,3,I've Got A Feeling - Zac Brown Band with Susan Tedeschi and Derek Trucks 4/17/2016,463,-208.1600,0,,False,True,False,False,1,,,,,
EaFo95s8Xxk,8,3,Susan Tedeschi,325,-70.1600,0,,False,True,False,False,1,,,,,
egpgTjP5QpM,5,2,Derek Trucks Band - Joyful Noise,599,-344.1600,0,,False,True,False,False,1,,,,,
yXqUvYx-S7c,7,2,Fourty-Four,338,-83.1600,0,,False,True,False,False,1,,,,,
u7tj6knL_w4,7,2,DEREK TRUCKS BAND...11   Ain't That Lovin' You,410,-155.1600,0,,False,True,False,False,1,,,,,
2mvXxzM9Oug,9,2,Buddy Guy - Too Many Tears (Feat. Derek Trucks & Susan Tedeschi)  (Srpski prevod),265,-10.1600,0,,False,True,False,False,1,,,,,
2OIAURQLnMI,5,1,Angel From Montgomery - Tedeschi Trucks Band(Infinity Hall Live 2015),597,-342.1600,0,,False,True,False,False,1,,,,,
9xOLMSMw90U,1,3,Baby You're Right - Derek Trucks ft Susan Tedeschi,180,74.8400,0,,True,True,False,False,0,,,,,
d3sL3DBaRFU,3,3,Tedeschi Trucks Band - Calling Out To You (acoustic),235,19.8400,0,,True,True,False,False,0,,,,,
To1HacI7cyc,9,3,I Wish I Knew  - WYNTON MARSALIS SEPTET ft. SUSAN TEDESCHI & DEREK TRUCKS,231,23.8400,0,,False,True,False,False,0,,,,,
g1efDtT7XeU,12,3,"The Tedeschi Trucks Band, ""I Pity The Fool,"" with epic Susan solo 12/2/2017, Boston, MA",539,-284.1600,0,,False,False,False,False,0,,,,,
D6Xa2r2pkDE,15,3,Susan Tedeschi and Derek Trucks on UNITED WE SWING,17,237.8400,0,,False,False,False,False,0,,,,,
tWE2Kgfzh_4,16,3,"The Tedeschi Trucks Band, ""Idle Wind"" with epic Derek solo, 12/1/17 Boston, MA",1071,-816.1600,0,,False,False,False,False,0,,,,,
kC1MgfweyQo,4,2,【作業用BGM】The Derek Trucks Band【22曲】,6736,-6481.1600,0,,True,True,False,False,0,,,,,
EUt2wB6n8hE,9,2,"Derek Trucks Band - Syracuse, NY - 11/1/09 - Home in My Heart",131,123.8400,0,,False,True,False,False,0,,,,,
xZkRNGZ20sQ,10,2,Susan Tedeschi Gonna Move,264,-9.1600,0,,False,False,False,False,0,,,,,
PT9WznA4NsM,10,2,DEREK TRUCKS BAND...12   Deltaraga,186,68.8400,0,,False,False,False,False,0,,,,,
NjhZkS2LTYg,10,2,DEREK TRUCKS BAND...07   Alright,181,73.8400,0,,False,False,False,False,0,,,,,
aSkHWuMeoEw,11,2,Tedeschi Trucks Band - Sweet Inspiration,378,-123.1600,0,,False,False,False,False,0,,,,,
PAoToXmwUR0,11,2,The Derek Trucks Band - I Know (Cover),101,153.8400,0,,False,False,False,False,0,,,,,
